,Make,Model,2016,2017,2018,2019,2020,2021,January_2022,February_2022,March_2022,April_2022,May_2022,June_2022,2022,Ex-Showroom_Price,Displacement_in_cc,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity_in_litres,Fuel_Type,Height_in_mm,Length_in_mm,Width_in_mm,Body_Type,Doors,City_Mileage_in_km_per_litre,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range_in_km_per_full_charge,Max_Power_in_hp,Max_Torque_in_Nm
1024,Skoda,Superb Sportline,136.46,657.01,829.04,1235.3,878.6,1013.97,139.44,210.0,217.44,224.1,145.57,91.48,1028.03,2899599.0,1798.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,66.0,Petrol,1483.0,4861.0,1864.0,Sedan,4,11.3,13.7,13.7 km/litre,,1540 kg,7,164 mm,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabiliser,"multi-element axle, with one longitudinal and transverse links, with torsion stabiliser",,,215/55 R17,215/55 R17,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2841 mm,215/55 R17,Yes,2,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",625 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.4 meter,Yes,Driver & Front Passenger,Not Applicable,3 Zone climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2030 kg,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,8.0,11.1,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,177.54,250.0
1026,Tata,Altroz,1120.52,323.57,867.44,730.14,384.18,501.11,81.86,128.58,103.27,138.29,172.91,50.46,675.37,529000.0,1199.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37.0,Petrol,1523.0,3990.0,1755.0,Hatchback,5,,,18 km/litre,,,5,165 mm,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Twist Beam with Coil spring and Shock Absorber,,,165/80R14,165/80R14,Electric Power,Only Front Windows,,,Digital,"Analog, Digital",Analog,1,5.0,Fabric,Manual,2501 mm,165/80R14,,Yes,Not on offer,,,,,Internal,345 litres,,Yes,Yes,,Front,,Front & Rear,Yes,,,Internal,Digital,Manual,Analog + Digital,,5 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,Yes,Normal,Yes,Yes,,Yes,,,,Yes,,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,,2.0,,Rake,,,Rear sensors,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,1.2 L Revotron (BS VI),,,,,,,,84.82,113.0
1036,Tata,Bolt,945.23,1252.37,10.38,891.29,1105.34,193.29,170.52,99.15,32.36,65.17,187.27,220.53,775.0,787980.0,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44.0,Diesel,1562.0,3825.0,1695.0,Hatchback,5,22.95,,22.95 km/litre,,1132 kg,5,165 mm,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,,,175/65 R15,175/65 R15,Electric Power,All Windows,,Yes,Digital,Analog,Analog,"1, 2",5.0,Fabric,Manual,2470 mm,175/65 R15,,Yes,,Yes,Yes,,Yes,Internal,210 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,3 years /150000 Kms (years/distance whichever comes first),Yes,Manual,Digital,Manual,Analog + Digital,Yes,5.1 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1160 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,,Yes,Yes,,,Yes,,Multifunction Steering Wheel,Yes,,Manual Adjustment,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,73.97,190.0
1044,Tata,Harrier,1174.41,1185.24,266.24,425.69,16.62,225.78,82.69,185.54,178.9,89.48,161.05,84.34,782.0,1345363.0,1956.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50.0,Diesel,1706.0,4598.0,1894.0,SUV,5,,,16.7 km/litre,,,6,205 mm,Ventilated Disc,Drum,"Independent Lower Wishbone, McPherson Strut with coil Spring",Semi-Independent; Twist beam with dual path strut,,,235/70 R16,235/70 R16,Hydraulic Power,All Windows,,,,Analog,Analog,Yes,5.0,Fabric,Manual,2741 mm,235/70 R16,,Yes,Not on offer,,Yes,"2 Years / 75,000 KM (whichever is earlier)",,"Internal, With Remote",425 litres,,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",,"With Remote, Internal",Analog,Manual,Analog,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,Yes,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,Yes,2.0,16.5:1,Rake,,,Rear sensors,Yes,,,,Yes,,,Yes,,Manual Adjustment,,,,,,,,,,Yes,,,,,,,,,,,,,,138.08,350.0
1050,Tata,Hexa,645.9,1206.79,332.1,489.4,1016.8,158.7,178.81,25.69,77.65,201.6,114.36,9.7,607.81,1639374.0,2179.0,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60.0,Diesel,1791.0,4788.0,1903.0,SUV,5,14.0,17.6,17.6 km/litre,,2280 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Double Wishbone type with Coil Springs,Coil Spring type 5 link rigid axle suspension,,,235/70 R16,235/70 R16,Electric Power,All Windows,,Remote,Digital,Analog,Analog,Yes,7.0,Fabric,Manual,2850 mm,235/70 R16,,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,128 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.75 meter,Yes,Driver & Front Passenger,Yes,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,17.2:1,Rake,,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,,,,,Yes,,,Yes,,,,Yes,,,,,,,,,,153.87,400.0
1057,Tata,Nano Genx,1052.27,800.56,823.1,1146.96,1261.46,587.21,99.76,200.91,17.47,182.68,98.76,196.84,796.42,292667.0,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5,23.6,,23.6 km/litre,,660 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,Only Front Windows,,Remote,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.48,51.0
1063,Tata,Nexon,344.73,302.38,777.18,821.5,767.77,835.58,172.61,71.91,45.43,99.35,123.15,87.57,600.02,695000.0,1198.0,3.0,4.0,,In-line,BS 6,,Injection,44.0,Petrol,1607.0,3994.0,1811.0,SUV,5,,,17.6 km/litre,,,,209 mm,Ventilated Disc,Drum,Independent McPherson,Twist Beam with Coil spring and Shock Absorber,,,195/60 R16,195/60 R16,Electric Power,Only Front Windows,,,Analog,Analog,Digital,Yes,5.0,Fabric,Manual,2498 mm,195/60 R16,,Yes,CD/MP3/DVD Player with USB & Aux-in,,Yes,,,,350 litres,,,Yes,Digital,Front,Yes,Yes,,,,,Analog,,Analog + Digital,Yes,5.1 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,Yes,2.0,,"Rake, Reach",,,,,,,,Yes,,Multifunction Steering Wheel,Yes,,,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,108.5,170.0
1087,Tata,Nexon Ev,699.14,433.4,560.3,960.71,308.3,210.28,203.01,192.5,214.5,222.77,21.31,120.1,974.19,1399000.0,,,,FWD (Front Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,,Electric,1607.0,3994.0,1811.0,SUV,5,,,,,,,205 mm,Ventilated Disc,Solid Disc,Independent MacPherson Dual path Strut with coil spring,Torsion beam with hydraulic shock absorbers,,,R16,R16,Electric Power,All Windows,,Smart Key,Digital,Digital,Analog,Yes,5.0,Fabric,Automatic,2498 mm,,Yes,Yes,,Yes,,8 yrs/1.6L kmBattery Warranty,Yes,With Remote,,Yes,Yes,Yes,"Digital, Analog",Front,Yes,Yes,Yes,,Yes,With Remote,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,Yes,Yes,,,Yes,"Normal, Sport",Yes,Yes,,,Yes,,,Yes,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,,,,Yes,,Yes,,,Yes,Yes,,,,,,Yes,,,Yes,,"30.2 kWh* Advanced Li-ion polymer, liquid cooled battery pack with IP67 certification",312.0,127.24,245.0
1090,Tata,Safari Storme,885.31,1133.59,1122.27,534.55,94.6,617.64,245.11,86.96,5.15,12.93,95.34,103.38,548.87,1109005.0,2179.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,63.0,Diesel,1922.0,4655.0,1855.0,SUV,5,10.8,14.0,14 km/litre,,2000 kg,5,200 mm,Ventilated Disc,Drum,Double Wishbone type with Coil Springs,Coil Spring type 5 link rigid axle suspension,1580 mm,1550 mm,235/70R16,235/70R16,Hydraulic Power,All Windows,,Remote,Digital,Analog,Analog,Yes,7.0,Fabric,Manual,2650 mm,235/70R16,,Yes,,,,3 years /100000 Kms (years/distance whichever comes first),,Manual,981 litres,,Yes,Yes,Digital,Front,,Front & Rear,Yes,4 years /150000 Kms (years/distance whichever comes first),,"Internal, With Remote",Analog,Manual,Analog + Digital,Yes,10.8 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,,Yes,Front Row,2505 kg,,Yes,,Yes,,,17.2:1,Rake,,Air Conditioner : Standard,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,147.95,320.0
1094,Tata,Tiago,419.65,72.88,671.21,137.7,153.84,860.75,217.98,161.95,174.45,153.11,181.42,42.6,931.51,460000.0,1199.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35.0,Petrol,1535.0,3765.0,1677.0,Hatchback,5,,,23 km/litre,,935 kg,5,,Ventilated Disc,Drum,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,,,155/80 R13,155/80 R13,Electric Power,,,,Digital,Analog,Analog,2,5.0,Fabric,Manual,2400 mm,155/80 R13,,Yes,Not on offer,,Yes,"2 Years / 75,000 KM (whichever is earlier)",,"Internal, With Remote",,,,Yes,Yes,Front,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",,"With Remote, Internal",Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,Yes,2.0,,Rake,,,Rear sensors,Yes,,,,Yes,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,84.82,114.0
1102,Tata,Tiago Nrg,723.24,837.31,735.16,486.77,357.47,205.08,204.4,209.64,196.8,141.98,25.7,127.04,905.56,594993.0,1199.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1587.0,3793.0,1665.0,Crossover,5,,,23.84 km/litre,,1017 kg,5,180 mm,Ventilated Disc,Drum,"Independent Lower Wishbone, McPherson Strut with coil Spring",Rear Twist beam with coil spring mounted on hydraulic shock absorbers,1400 mm,1420 mm,175/65 R14,175/65 R14,Electric Power,All Windows,,Remote,Digital,Analog,Analog,2,5.0,Fabric,Manual,2400 mm,175/65 R14,,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 75,000 KM (whichever is earlier)",Yes,"Internal, With Remote",242 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",Yes,"Internal, With Remote",Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,83.84,114.0
1105,Tata,Tigor,267.87,976.06,720.35,1011.44,252.08,1162.78,42.64,224.75,238.84,83.81,61.12,18.62,669.78,575000.0,1199.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35.0,Petrol,1537.0,3992.0,1677.0,Sedan,4,24.12,23.0,23 km/litre,,992 kg,5,165 mm,Ventilated Disc,Drum,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; closed profile Twist beam with Dual path Strut,,,155/80 R13,155/80 R13,Electric Power,,,,Digital,Analog,Analog,2,5.0,Vinyl,Manual,2450 mm,155/80 R13,,Yes,Not on offer,,Yes,,,Internal,419 litres,,,Yes,Digital,Centre,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,5.1 meter,,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",,,,Yes,,,Rake,,,,Yes,,,,Yes,,,Yes,,Manual Adjustment,,,,,,,,,,,,,,,,"Revotron 1.2 L, BS6 Engine",,,,,,,,84.82,113.0
1111,Tata,Tigor Ev,575.67,1023.49,34.76,55.94,78.37,547.34,159.86,242.05,186.02,172.73,174.21,10.37,945.24,960868.0,,,,FWD (Front Wheel Drive),,BS VI,,Injection,,Electric,1537.0,3992.0,1677.0,Sedan,5,,,,,,,165 mm,Ventilated Disc,Drum,"Independent Lower Wishbone, McPherson Strut with coil Spring",Semi-Independent; Twist beam with dual path strut,,,175/65 R14,175/65 R14,Electric Power,All Windows,,,Digital,Yes,Analog,Yes,5.0,Fabric,Automatic,2450 mm,175/65 R14,,,USB & Aux-in,Yes,,,Yes,Manual,255 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,,,,,"Normal, Eco, Sport",,,,Yes,Yes,,,Yes,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,,,,2.0,,Rake,,,Rear sensors,,Yes,,,,,Multifunction Steering Wheel,Yes,,,,,,,,,,,,,,,,,,M1 Category,,,,,,"21.5 kWh,Battery Placed Under Rear Seats",213.0,40.93,105.0
1114,Tata,Winger,405.54,253.46,939.59,297.48,829.35,822.58,60.7,89.23,98.81,183.76,143.25,69.73,645.48,1205000.0,2200.0,4.0,4.0,FWD (Front Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,60.0,Diesel,2670.0,5458.0,1905.0,MUV,5,,,,,2275 kg,5,180 mm,Solid Disc,Drum,McPherson strut with coil spring,"Double parabolic leaf spring, Hydraulic telescopic",,,"195 R15 LT, 8PR Radial","195 R15 LT, 8PR Radial",Hydraulic Power,,,,Analog,Analog,Analog,Yes,16.0,Fabric,Manual,3488 mm,"195 R15 LT, 8PR Radial",,Yes,Not on offer,,Yes,,,Internal,,,,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,,,Internal,Yes,,Analog,Yes,6750 meter,,Driver & Front Passenger,Not Applicable,Yes,,,,,,,,,,,,,,,,,,3475 kg,,Yes,,Yes,,,,Rake,,,,,,,,,,,Yes,,Manual Adjustment,,,,Cup Holders,,,,,,,,,,,,,,,,,,,,73.5,190.0
1115,Tata,Zest,68.78,1099.39,295.16,192.94,1147.8,762.26,175.81,171.44,216.2,247.47,69.44,132.17,1012.53,582287.0,1193.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44.0,Petrol,1570.0,3995.0,1706.0,Sedan,4,13.2,17.6,17.6 km/litre,,1135 kg,5,175 mm,Ventilated Disc,Drum,Dual Path Independent McPherson strut with Coil Springs and Antiroll Bar,Twist Beam with Coil spring and Shock Absorber,1450 mm,1440 mm,185/60R15,185/60R15,Electric Power,Only Front Windows,,Yes,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2470 mm,185/60R15,,Yes,Not on offer,,Yes,2 years /75000 Kms (years/distance whichever comes first),,Internal,390 litres,,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,2 years /150000 Kms (years/distance whichever comes first),,Internal,Digital,Manual,Analog + Digital,Yes,5.1 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,Yes,,,,Yes,,1531 kg,,Yes,,Yes,Yes,,9.1,Rake,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,88.77,140.0
1126,Toyota,Camry,306.06,530.35,591.55,312.96,763.72,65.26,86.76,29.6,65.22,191.69,65.37,36.74,475.38,3788000.0,2487.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Hybrid,1455.0,4885.0,1840.0,Sedan,4,,,23.2 km/litre,,1665 kg,,,Ventilated Disc,Ventilated Disc,MacPherson Strut,Double wishbones,1580 mm,1605 mm,235/45R18,235/45R18,Electric Power,All Windows,"Yes, with memory",Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2825 mm,235/45R18,Yes,2,DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.8 meter,Yes,Driver & Front Passenger,Not Applicable,3 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2100 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags",Yes,Yes,Yes,Yes,9.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Audio Controls,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,175.56,221.0
1127,Toyota,Corolla Altis,746.24,376.86,626.5,31.15,688.35,869.49,94.62,42.45,55.61,40.09,41.71,232.33,506.81,1645000.0,1798.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Petrol,1475.0,4620.0,1775.0,Sedan,4,9.5,,16.7 km/litre,,1220 kg,6,175 mm,Ventilated Disc,Solid Disc,MacPherson Strut,Torsion Beam,1530 mm,1535 mm,195/65R15,195/65R15,Electric Power,All Windows,,Remote,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2700 mm,195/65R15,,2,DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,470 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.4 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,,,,Yes,,Front Row,1660 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",Yes,Yes,Yes,,3.0,10.6:1,"Rake, Reach",,,Rear sensors,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Manual Adjustment,,,,Cup Holders,,,,,,,Yes,,,Yes,Yes,,,,,,,,,138.08,173.0
1133,Toyota,Etios Cross,95.0,784.32,1238.38,885.72,66.61,840.67,77.22,225.15,204.11,220.23,154.38,245.61,1126.7,802000.0,1496.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1555.0,3895.0,1735.0,Hatchback,5,15.0,16.0,16.78 km/litre,,950 kg,5,174 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/60R15,185/60R15,Electric Power,All Windows,,Remote,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2460 mm,185/60R15,,Yes,CD Player with USB & Aux-in,Yes,,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251 litres,Yes,Yes,Yes,Digital,Front,,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,,Rake,,,,Yes,Yes,,,,,Multifunction Steering Wheel,,,Manual Adjustment,,,,,,,,,,,,,,Yes,,,,,,,,,,88.77,132.0
1139,Toyota,Etios Liva,1243.27,1202.19,985.76,1105.47,572.34,499.59,149.88,63.84,128.84,120.31,209.64,124.09,796.6,520300.0,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1510.0,3884.0,1695.0,Hatchback,5,15.1,17.71,18.16 km/litre,,895 kg,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,1468 mm,1474 mm,175/65R14,175/65R14,Electric Power,All Windows,,Remote,Digital,Analog,Yes,Yes,5.0,Fabric,Manual,2460 mm,175/65R14,,Yes,Not on offer,,,3 years /100000 Kms (years/distance whichever comes first),,Internal,251 litres,,,Yes,Digital,Front,,Front & Rear,Yes,,,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1475 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,10.5:1,Rake,,,,Yes,,,,,,,,,Manual Adjustment,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,78.91,104.0
